title_en,title_cn,platform,origin_product_id,origin_url,goodsqc_url,price_cny,qc_num,shop_name,primary_image,kakobuy_url
trendy square modern sunglasses,时尚方形摩登太阳镜,weidian,7709791143,https://weidian.com/item.html?itemID=7709791143,https://www.goodsqc.com/productDetails?id=7709791143&platform=weidian,55.00,409,Muki,https://si.geilicdn.com/open1693155437-1234478995-1b4e0000019878e0dbe90a23b491_800_800.jpg,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7709791143&affcode=9v88f
zip-up hooded hoodie outerwear,拉链连帽卫衣外衫,weidian,7715767477,https://weidian.com/item.html?itemID=7715767477,https://www.goodsqc.com/productDetails?id=7715767477&platform=weidian,145.00,8,步潮,https://si.geilicdn.com/wdseller1580621215-3a7000000193b44a95590a239846_1242_1242.jpg,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7715767477&affcode=9v88f
long sleeve t-shirt,长袖T恤,weidian,7812411572,https://weidian.com/item.html?itemID=7812411572,https://www.goodsqc.com/productDetails?id=7812411572&platform=weidian,96.00,92,AXCE,https://si.geilicdn.com/wdseller1580621215-0cf600000195892e0caa0a2396f4_800_800.jpg,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7812411572&affcode=9v88f
long sleeve t-shirt,长袖T恤,weidian,7816941836,https://weidian.com/item.html?itemID=7816941836,https://www.goodsqc.com/productDetails?id=7816941836&platform=weidian,96.00,96,AXCE,https://si.geilicdn.com/wdseller1580621215-0cf600000195892e0caa0a2396f4_800_800.jpg,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7816941836&affcode=9v88f
Fashion tshirts,Fashion tshirts,weidian,7816325930,https://weidian.com/item.html?itemID=7816325930,https://www.goodsqc.com/productDetails?id=7816325930&platform=weidian,75.00,4,Haulux,https://si.geilicdn.com/wdseller1580621215-5ad20000019d43329dd00a2102c5_1206_904.jpg,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7816325930&affcode=9v88f
Fashion sunglasses,fashion sunglasses,weidian,7813314053,https://weidian.com/item.html?itemID=7813314053,https://www.goodsqc.com/productDetails?id=7813314053&platform=weidian,15.00,3,Boss-Way,https://si.geilicdn.com/wdseller1812690884-3dca0000019db2c41a650a2103bd_1440_1080.jpg,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7813314053&affcode=9v88f
long sleeve t-shirt,长袖T恤,weidian,7814900358,https://weidian.com/item.html?itemID=7814900358,https://www.goodsqc.com/productDetails?id=7814900358&platform=weidian,96.00,92,Haulux,https://si.geilicdn.com/wdseller1580621215-0cf600000195892e0caa0a2396f4_800_800.jpg,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7814900358&affcode=9v88f
"Sweatshirt (shipped product, returns and exchanges are not supported for non-quality issues) [WA+852 46803097]",卫衣（已发货商品，非质量问题不支持退换货）【WA+852 46803097】,weidian,7814953754,https://weidian.com/item.html?itemID=7814953754,https://www.goodsqc.com/productDetails?id=7814953754&platform=weidian,125.00,,Boss-Way,https://si.geilicdn.com/open1796739853-1234478995-41f4000001987d263a220a231226_1200_1200.jpg,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7814953754&affcode=9v88f
"Long sleeve t-shirt (Need more photos, size advice or special suggestions? Contact WhatsApp: 85252421295)","长袖T恤 (Need more photos, size advice or special discounts? Contact WhatsApp: 85252421295)",weidian,7810585826,https://weidian.com/item.html?itemID=7810585826,https://www.goodsqc.com/productDetails?id=7810585826&platform=weidian,96.00,44,Boss-Way,https://si.geilicdn.com/wdseller1580621215-0cf600000195892e0caa0a2396f4_800_800.jpg,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7810585826&affcode=9v88f
Trendy simple and versatile hoodie 15,Trendy simple and versatile hoodie 15,weidian,7715875793,https://weidian.com/item.html?itemID=7715875793,https://www.goodsqc.com/productDetails?id=7715875793&platform=weidian,189.00,16,步潮,https://si.geilicdn.com/open1846446141-1234478995-2c4600000198a221e18f0a23b491_1200_1200.jpg,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7715875793&affcode=9v88f
long sleeve t-shirt,长袖T恤,weidian,7715779263,https://weidian.com/item.html?itemID=7715779263,https://www.goodsqc.com/productDetails?id=7715779263&platform=weidian,122.00,40,步潮,https://si.geilicdn.com/wdseller1580621215-0cf600000195892e0caa0a2396f4_800_800.jpg,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7715779263&affcode=9v88f
long sleeve t-shirt,长袖T恤,weidian,7718787124,https://weidian.com/item.html?itemID=7718787124,https://www.goodsqc.com/productDetails?id=7718787124&platform=weidian,128.00,40,步潮,https://si.geilicdn.com/wdseller1580621215-0cf600000195892e0caa0a2396f4_800_800.jpg,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7718787124&affcode=9v88f
tropical,热带,weidian,7715830467,https://weidian.com/item.html?itemID=7715830467,https://www.goodsqc.com/productDetails?id=7715830467&platform=weidian,53.00,27,步潮,https://si.geilicdn.com/open1846446141-1234478995-0f1f00000198a21a99330a23b4de_1200_1200.jpg,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7715830467&affcode=9v88f
long sleeve t-shirt,长袖T恤,weidian,7715883733,https://weidian.com/item.html?itemID=7715883733,https://www.goodsqc.com/productDetails?id=7715883733&platform=weidian,102.00,108,步潮,https://si.geilicdn.com/wdseller1580621215-0cf600000195892e0caa0a2396f4_800_800.jpg,https://www.kakobuy.com/item/details?url=https%3A%2F%2Fweidian.com%2Fitem.html%3FitemID%3D7715883733&affcode=9v88f
