title_en,title_cn,platform,origin_product_id,origin_url,goodsqc_url,price_cny,qc_num,shop_name,primary_image
FM-0926213 casual shoes,FM-0926213 休闲鞋,weidian,7713409204,https://weidian.com/item.html?itemID=7713409204,https://www.goodsqc.com/productDetails?id=7713409204&platform=weidian,180.00,12,潮香俱乐部,https://si.geilicdn.com/pcitem1977362831-5f1100000199c9b9f3a30a811411_1080_1080.jpg
(15% off) Fashionable and versatile casual sneakers-SQ002,（15%off）时尚百搭休闲板鞋-SQ002,weidian,7711130529,https://weidian.com/item.html?itemID=7711130529,https://www.goodsqc.com/productDetails?id=7711130529&platform=weidian,350.00,24,FloFlo,https://si.geilicdn.com/pcitem901903642079-02f20000019592cd7f8f0a2396f4_1200_1200.jpg
"Pack of six, white/black and black",六双装，白白/黑黑,weidian,7715071873,https://weidian.com/item.html?itemID=7715071873,https://www.goodsqc.com/productDetails?id=7715071873&platform=weidian,59.00,412,有米家,https://si.geilicdn.com/open1847561709-1234478995-59c70000019638db296d0a22d249_1276_1276.jpg
YYNEYYNE - Cost-effective fashion new panties-22,YYNEYYNE-高性价比时尚新款内裤-22,weidian,7715533946,https://weidian.com/item.html?itemID=7715533946,https://www.goodsqc.com/productDetails?id=7715533946&platform=weidian,19.00,694,步潮,https://si.geilicdn.com/open1683882435-1234478995-7fa400000198a84fd89f0a231226-unadjust_640_640.png
fashion sunglasses,时尚墨镜,weidian,7819485969,https://weidian.com/item.html?itemID=7819485969,https://www.goodsqc.com/productDetails?id=7819485969&platform=weidian,102.00,,LuxeHush,https://si.geilicdn.com/pcitem902000728537-102f0000019a62aead270a231177_600_800.jpg
[ABC32-1] New embroidered cap - OK,【ABC32-1】新款刺绣鸭舌帽-OK,weidian,7713686438,https://weidian.com/item.html?itemID=7713686438,https://www.goodsqc.com/productDetails?id=7713686438&platform=weidian,81.60,12,Muki,https://si.geilicdn.com/open1725848333-252808396-5cc80000019bf96af29e0a23b4de_1200_1200.jpg
Vest NFC,vest NFC,weidian,7820674407,https://weidian.com/item.html?itemID=7820674407,https://www.goodsqc.com/productDetails?id=7820674407&platform=weidian,298.00,119,Global Vogue,https://si.geilicdn.com/wdseller254254139-32910000019bb193c7590a239846_810_1080.jpg
Summer thin quick-drying shorts men's loose casual woven running sports shorts fitness breathable training four-quarter pants,夏季薄款速干短裤男宽松休闲梭织跑步运动短裤健身透气训练四分裤,weidian,7830769896,https://weidian.com/item.html?itemID=7830769896,https://www.goodsqc.com/productDetails?id=7830769896&platform=weidian,76.00,365,AXCE,https://si.geilicdn.com/open1678693501-1234478995-1dc40000019ffa49ff390aa08239_800_800.jpg
shoes,shoes,weidian,7815447347,https://weidian.com/item.html?itemID=7815447347,https://www.goodsqc.com/productDetails?id=7815447347&platform=weidian,683.00,,LuxeHush,https://si.geilicdn.com/pcitem1791366674-6eba00000197b1d4119a0a2102c5_1074_1074.jpg
"Korean version of square big face sunglasses, men's cycling sunglasses, women's outdoor sports bike, battery car, windproof goggles, wave",韩版方形大脸墨镜男骑行太阳眼镜女户外运动自行车电瓶车防风镜潮,weidian,7836863328,https://weidian.com/item.html?itemID=7836863328,https://www.goodsqc.com/productDetails?id=7836863328&platform=weidian,156.00,142,Boss-Way,https://si.geilicdn.com/open1653773437-1234478995-4e5b000001a0225be1ff0a22d249_800_800.jpg
"BK Birken shoes, real cowhide slippers, Baotou semi-slipper, spring and autumn sandals, slippers, same style for men and women, cork Borken shoes",BK勃肯鞋真牛皮拖鞋包头半拖懒人春秋款凉拖鞋男女同款软木博肯鞋,weidian,7714459855,https://weidian.com/item.html?itemID=7714459855,https://www.goodsqc.com/productDetails?id=7714459855&platform=weidian,104.00,653,Chaohub,https://si.geilicdn.com/open1828180619-1828180619-54440000019b9ce8184b0a8133b0_1199_1199.jpg
sports jacket men's windbreaker spring and autumn quick-drying casual running woven sports windproof track and field training jacket DD wholesale,运动夹克男风衣春秋速干休闲跑步梭织体育防风田径训练外套DD批发,weidian,7717597614,https://weidian.com/item.html?itemID=7717597614,https://www.goodsqc.com/productDetails?id=7717597614&platform=weidian,99.00,165,Yochic,https://si.geilicdn.com/open1682354827-1682354827-55310000019bf9dd330d0a23b4de_1200_1200.jpg
Trendy American casual summer fitness basketball cotton shorts for men and women,短裤潮牌美式休闲男女情侣夏季健身篮球棉,weidian,7710718623,https://weidian.com/item.html?itemID=7710718623,https://www.goodsqc.com/productDetails?id=7710718623&platform=weidian,137.00,690,有米家,https://si.geilicdn.com/open1875660057-252808396-40f200000195a3ac83ad0a8115c2_800_800.jpg
[DX36] Autumn and Winter Fashion Korean Slim Warm Sweater Top,【DX36】秋冬时尚韩系显瘦保暖毛衣上衣,weidian,7712874754,https://weidian.com/item.html?itemID=7712874754,https://www.goodsqc.com/productDetails?id=7712874754&platform=weidian,145.00,4,FloFlo,https://si.geilicdn.com/pcitem901940024420-22960000019b9785e5530a23047e_1280_1280.jpg
Fall/Winter Fashionable Versatile Sweater Knitwear YHH11,秋冬时尚百搭毛衣针织衫 YHH11,weidian,7713201770,https://weidian.com/item.html?itemID=7713201770,https://www.goodsqc.com/productDetails?id=7713201770&platform=weidian,99.00,149,步潮,https://si.geilicdn.com/open1775234821-1234478995-78b5000001987f0564490a8133b0_1200_1200.jpg
bulletproof vest short sleeve,防弹衣短袖,weidian,7813147271,https://weidian.com/item.html?itemID=7813147271,https://www.goodsqc.com/productDetails?id=7813147271&platform=weidian,239.00,104,LuxeHush,https://si.geilicdn.com/wdseller1995625455-5a400000019d6c1c3d660a2304a0_2560_3413.jpg
CPZCZPZ new autumn fashion all-match round neck sweater-078,CPZCZPZ新款秋季时尚百搭圆领卫衣-078,weidian,7819348066,https://weidian.com/item.html?itemID=7819348066,https://www.goodsqc.com/productDetails?id=7819348066&platform=weidian,127.00,161,LuxeHush,https://si.geilicdn.com/pcitem901972474535-262e000001990974213c0a2301b4_1440_1440.jpg
Classic Must-Have #【补单出货】原厂品质 C @R Classic Small Standard Basic Distressed Terry Closure Sweatpants,经典必入款#【补单出货】原厂品质 C@R 经典小标基础款 水洗做旧毛圈收口卫裤,weidian,7711584765,https://weidian.com/item.html?itemID=7711584765,https://www.goodsqc.com/productDetails?id=7711584765&platform=weidian,129.00,8,有米家,https://si.geilicdn.com/wdseller1303790680-4a3b0000018b08bc08ce0a231418_1284_1284.jpg
